No,LIQUIDEZ,NIVEL DE ENDEUDAMIENTO ,Razón de Cobertura de intereses , Rentabilidad del Patrimonio ,Rentabilidad del Activo,CAPITAL DE TRABAJO,%K
186,2.555884819,0.580042361,26.09237866, 0.35 ,0.147203294,45659013000,8.902775325
187,2.040414594,0.524257031,10.56992012, 0.92 ,0.437830812,11595893000,2.261013178
188,1.675663513,0.798907374,10, 1.26 ,0.254230981,4292393000,0.8369478
189,2.098773604,0.688680313,10, 0.64 ,0.199947607,14104203000,2.750093403
190,1.90869557,0.612990743,10, 0.36 ,0.139956198,3374232000,0.657921129
191,1.631688903,0.597623295,10, 1.02 ,0.409071365,6522632000,1.27180864
192,7.245757651,0.566522927,10, 0.10 ,0.045484364,7363411000,1.435747062
193,2.518520668,0.553070838,28.5297862, 0.82 ,0.368162022,2276018000,0.443787011
194,1.953366111,0.510064207,10, 0.44 ,0.217699398,4792376000,0.934436467
195,1.76321609,0.561671473,10, 1.04 ,0.454481875,2681633000,0.522875431
196,2.997511312,0.695038665,10, 0.21 ,0.063684859,4823844000,0.940572223
197,4.407323689,0.684760113,11.18212932, 0.48 ,0.150436722,33601435000,6.551740976
198,1.83258934,0.540858387,30.01787969, 0.19 ,0.085589154,2499469000,0.487356372
199,7.405308669,0.907703034,10, 0.46 ,0.042289547,4840780000,0.943874471
200,2.357798548,0.685926248,10, 0.38 ,0.12073231,5924090000,1.155102548
201,7.149339159,0.593704361,10.85993233, 0.24 ,0.095514511,20156267000,3.930148829
202,1.714345792,0.595643629,5.302633977, 1.09 ,0.441863219,4319619000,0.842256433
203,10.8501206,0.520273996,12.38838375, 0.15 ,0.073906671,7314276000,1.426166525
204,2.813752536,0.526263214,10, 0.15 ,0.069241738,4489812000,0.875441339
205,5.125136803,0.79689365,10, 0.46 ,0.094147178,8424210000,1.642585855
206,1.790377845,0.601267017,10, 1.74 ,0.694537903,2719638000,0.530285797
207,2.152116624,0.530220973,8.494473757, 0.32 ,0.148531485,2327150000,0.453756931
